book_name,author,genres_list,pages_format,first_published_year,rating,ratings_count,score,votes,book_url
"Beloved (Beloved Trilogy, #1)",Toni Morrison,"['Fiction', 'Classics', 'Historical Fiction', 'Magical Realism', 'Historical', 'Literature', 'School']","325 pages, Paperback",1987, 3.98 avg rating,"488,033 ratings","score: 83,359","1,018 people voted",https://www.goodreads.com/book/show/6149.Beloved
"The Lost Hero (The Heroes of Olympus, #1)",Rick Riordan,"['Fantasy', 'Mythology', 'Young Adult', 'Fiction', 'Middle Grade', 'Percy Jackson', 'Adventure']","576 pages, Hardcover",2010, 4.29 avg rating,"935,505 ratings","score: 82,407",991 people voted,https://www.goodreads.com/book/show/7736182-the-lost-hero
"The Clan of the Cave Bear (Earth's Children, #1)",Jean M. Auel,"['Historical Fiction', 'Fiction', 'Fantasy', 'Historical', 'Classics', 'Romance', 'Adventure']","516 pages, Kindle Edition",1980, 4.10 avg rating,"281,920 ratings","score: 81,163","1,006 people voted",https://www.goodreads.com/book/show/40611463-the-clan-of-the-cave-bear
A Farewell to Arms,Ernest Hemingway,"['Classics', 'Fiction', 'Historical Fiction', 'War', 'Literature', 'Novels', 'Romance']","293 pages, Paperback",1929, 3.82 avg rating,"352,052 ratings","score: 79,817","1,024 people voted",https://www.goodreads.com/book/show/10799.A_Farewell_to_Arms
"Cinder (The Lunar Chronicles, #1)",Marissa Meyer,"['Fantasy', 'Young Adult', 'Science Fiction', 'Romance', 'Dystopia', 'Retellings', 'Fiction']","400 pages, Hardcover",2012, 4.12 avg rating,"1,007,902 ratings","score: 79,130",907 people voted,https://www.goodreads.com/book/show/36381037-cinder
The Canterbury Tales,Geoffrey Chaucer,"['Classics', 'Fiction', 'Poetry', 'Literature', 'School', 'Medieval', 'Short Stories']","504 pages, Paperback",1400, 3.53 avg rating,"237,321 ratings","score: 79,038","1,051 people voted",https://www.goodreads.com/book/show/2696.The_Canterbury_Tales
David Copperfield,Charles Dickens,"['Classics', 'Fiction', 'Literature', 'Historical Fiction', 'Audiobook', '19th Century', 'Novels']","882 pages, Paperback",1850, 4.04 avg rating,"257,569 ratings","score: 78,983","1,040 people voted",https://www.goodreads.com/book/show/58696.David_Copperfield
A Little Princess,Frances Hodgson Burnett,"['Classics', 'Fiction', 'Childrens', 'Young Adult', 'Historical Fiction', 'Middle Grade', 'Historical']","242 pages, Paperback",1905, 4.23 avg rating,"323,647 ratings","score: 78,809",999 people voted,https://www.goodreads.com/book/show/3008.A_Little_Princess
The World According to Garp,John Irving,"['Fiction', 'Classics', 'Literature', 'Contemporary', 'Novels', 'Literary Fiction', 'Humor']","610 pages, Hardcover",1978, 4.11 avg rating,"238,287 ratings","score: 78,244",974 people voted,https://www.goodreads.com/book/show/7069.The_World_According_to_Garp
Thirteen Reasons Why,Jay Asher,"['Young Adult', 'Fiction', 'Contemporary', 'Realistic Fiction', 'Mystery', 'Mental Health', 'Teen']","352 pages, Hardcover",2007, 3.84 avg rating,"1,022,400 ratings","score: 77,829",894 people voted,https://www.goodreads.com/book/show/29844228-thirteen-reasons-why
The Iliad / The Odyssey,Homer,"['Classics', 'Fiction', 'Poetry', 'Mythology', 'Fantasy', 'Literature', 'Historical Fiction']","1556 pages, Paperback",801, 4.07 avg rating,"83,464 ratings","score: 76,010",990 people voted,https://www.goodreads.com/book/show/1375.The_Iliad_The_Odyssey
His Dark Materials (His Dark Materials #1-3),Philip Pullman,"['Fantasy', 'Fiction', 'Young Adult', 'Childrens', 'Science Fiction Fantasy', 'Science Fiction', 'Classics']","1088 pages, Mass Market Paperback",2000, 4.29 avg rating,"167,987 ratings","score: 75,520",881 people voted,https://www.goodreads.com/book/show/18116.His_Dark_Materials
The Silmarillion,J.R.R. Tolkien,"['Fantasy', 'Fiction', 'Classics', 'High Fantasy', 'Epic Fantasy', 'Science Fiction Fantasy', 'Mythology']","386 pages, Hardcover",1977, 4.03 avg rating,"333,395 ratings","score: 75,171",904 people voted,https://www.goodreads.com/book/show/7332.The_Silmarillion
"Howl’s Moving Castle (Howl’s Moving Castle, #1)",Diana Wynne Jones,"['Fantasy', 'Young Adult', 'Fiction', 'Romance', 'Middle Grade', 'Magic', 'Classics']","329 pages, Mass Market Paperback",1986, 4.28 avg rating,"443,998 ratings","score: 74,492",877 people voted,https://www.goodreads.com/book/show/6294.Howl_s_Moving_Castle
"Shōgun (Asian Saga, #1)",James Clavell,"['Historical Fiction', 'Fiction', 'Japan', 'Historical', 'Classics', 'Adventure', 'Audiobook']","1152 pages, Paperback",1975, 4.41 avg rating,"211,343 ratings","score: 74,385",913 people voted,https://www.goodreads.com/book/show/52382796-sh-gun
The Trial,Franz Kafka,"['Classics', 'Fiction', 'Philosophy', 'Literature', 'German Literature', 'Novels', 'Dystopia']","255 pages, Paperback",1925, 3.94 avg rating,"391,774 ratings","score: 74,356",908 people voted,https://www.goodreads.com/book/show/17690.The_Trial
"Mockingjay (The Hunger Games, #3)",Suzanne Collins,"['Young Adult', 'Dystopia', 'Fiction', 'Fantasy', 'Science Fiction', 'Romance', 'Adventure']","390 pages, Hardcover",2010, 4.12 avg rating,"3,690,754 ratings","score: 74,348",928 people voted,https://www.goodreads.com/book/show/7260188-mockingjay
"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)",Gregory Maguire,"['Fantasy', 'Fiction', 'Book Club', 'Retellings', 'Adult', 'Audiobook', 'Classics']","406 pages, Paperback",1995, 3.51 avg rating,"681,448 ratings","score: 74,274",899 people voted,https://www.goodreads.com/book/show/37442.Wicked
The Velveteen Rabbit,Margery Williams Bianco,"['Classics', 'Childrens', 'Fiction', 'Picture Books', 'Fantasy', 'Animals', 'Young Adult']","40 pages, Paperback",1922, 4.31 avg rating,"272,145 ratings","score: 74,261",985 people voted,https://www.goodreads.com/book/show/144974.The_Velveteen_Rabbit
Schindler’s List,Thomas Keneally,"['History', 'Nonfiction', 'Classics', 'Holocaust', 'War', 'Historical', 'World War II']","429 pages, Mass Market Paperback",1982, 4.34 avg rating,"165,479 ratings","score: 74,224",976 people voted,https://www.goodreads.com/book/show/375013.Schindler_s_List
"Clockwork Prince (The Infernal Devices, #2)",Cassandra Clare,"['Fantasy', 'Young Adult', 'Romance', 'Paranormal', 'Steampunk', 'Historical Fiction', 'Urban Fantasy']","498 pages, Hardcover",2011, 4.42 avg rating,"583,951 ratings","score: 73,996",869 people voted,https://www.goodreads.com/book/show/10025305-clockwork-prince
Man's Search for Meaning,Viktor E. Frankl,"['Nonfiction', 'Psychology', 'Philosophy', 'History', 'Self Help', 'Memoir', 'Biography']","165 pages, Paperback",1946, 4.37 avg rating,"867,490 ratings","score: 70,572",822 people voted,https://www.goodreads.com/book/show/4069.Man_s_Search_for_Meaning
Extremely Loud & Incredibly Close,Jonathan Safran Foer,"['Fiction', 'Contemporary', 'Book Club', 'Historical Fiction', 'Novels', 'Literary Fiction', 'Adult']","326 pages, Paperback",2005, 3.97 avg rating,"434,544 ratings","score: 70,430",803 people voted,https://www.goodreads.com/book/show/4588.Extremely_Loud_Incredibly_Close
"The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)",Philippa Gregory,"['Historical Fiction', 'Fiction', 'Historical', 'Romance', 'Book Club', 'Adult', 'British Literature']","661 pages, Paperback",2001, 4.09 avg rating,"512,245 ratings","score: 69,732",859 people voted,https://www.goodreads.com/book/show/37470.The_Other_Boleyn_Girl
"The Silence of the Lambs  (Hannibal Lecter, #2)",Thomas  Harris,"['Horror', 'Fiction', 'Thriller', 'Mystery', 'Crime', 'Classics', 'Mystery Thriller']","421 pages, Paperback",1988, 4.26 avg rating,"586,565 ratings","score: 69,637",895 people voted,https://www.goodreads.com/book/show/23807.The_Silence_of_the_Lambs
The Green Mile,Stephen  King,"['Horror', 'Fiction', 'Fantasy', 'Thriller', 'Mystery', 'Classics', 'Crime']","592 pages, Paperback",1996, 4.49 avg rating,"360,790 ratings","score: 69,330",883 people voted,https://www.goodreads.com/book/show/11566.The_Green_Mile
The Sun Also Rises,Ernest Hemingway,"['Classics', 'Fiction', 'Literature', 'Historical Fiction', 'Novels', 'American', 'Book Club']","189 pages, Paperback",1926, 3.79 avg rating,"491,754 ratings","score: 68,889",879 people voted,https://www.goodreads.com/book/show/3876.The_Sun_Also_Rises
"Fallen (Fallen, #1)",Lauren Kate,"['Fantasy', 'Young Adult', 'Romance', 'Paranormal', 'Angels', 'Paranormal Romance', 'Fiction']","464 pages, Hardcover",2009, 3.72 avg rating,"616,771 ratings","score: 68,488",793 people voted,https://www.goodreads.com/book/show/6487308-fallen
"Last Sacrifice (Vampire Academy, #6)",Richelle Mead,"['Young Adult', 'Fantasy', 'Vampires', 'Paranormal', 'Romance', 'Urban Fantasy', 'Paranormal Romance']","594 pages, Hardcover",2010, 4.36 avg rating,"299,219 ratings","score: 67,961",799 people voted,https://www.goodreads.com/book/show/6527740-last-sacrifice
A Confederacy of Dunces,John Kennedy Toole,"['Fiction', 'Classics', 'Humor', 'Book Club', 'Literature', 'Comedy', 'Novels']","394 pages, Paperback",1980, 3.89 avg rating,"296,845 ratings","score: 67,565",784 people voted,https://www.goodreads.com/book/show/310612.A_Confederacy_of_Dunces
The Lord of the Rings,J.R.R. Tolkien,"['Fantasy', 'Classics', 'Fiction', 'Adventure', 'Science Fiction Fantasy', 'High Fantasy', 'Epic Fantasy']","1216 pages, Paperback",2001, 4.54 avg rating,"727,956 ratings","score: 67,524",810 people voted,https://www.goodreads.com/book/show/33.The_Lord_of_the_Rings
The Screwtape Letters,C.S. Lewis,"['Fiction', 'Christian', 'Classics', 'Religion', 'Christianity', 'Theology', 'Fantasy']","222 pages, Kindle Edition",1942, 4.27 avg rating,"516,449 ratings","score: 66,854",819 people voted,https://www.goodreads.com/book/show/8130077-the-screwtape-letters
"Crooked Kingdom (Six of Crows, #2)",Leigh Bardugo,"['Fantasy', 'Young Adult', 'Fiction', 'Romance', 'Young Adult Fantasy', 'LGBT', 'Magic']","561 pages, Kindle Edition",2016, 4.57 avg rating,"763,579 ratings","score: 66,785",727 people voted,https://www.goodreads.com/book/show/22299763-crooked-kingdom
Misery,Stephen  King,"['Horror', 'Fiction', 'Thriller', 'Mystery', 'Suspense', 'Audiobook', 'Mystery Thriller']","370 pages, Paperback",1987, 4.23 avg rating,"842,056 ratings","score: 65,865",846 people voted,https://www.goodreads.com/book/show/10614.Misery
The Crucible,Arthur Miller,"['Classics', 'Plays', 'Fiction', 'Historical Fiction', 'School', 'Drama', 'Read For School']","143 pages, Paperback",1953, 3.61 avg rating,"462,072 ratings","score: 65,558",874 people voted,https://www.goodreads.com/book/show/17250.The_Crucible
Cat’s Cradle,Kurt Vonnegut Jr.,"['Fiction', 'Classics', 'Science Fiction', 'Humor', 'Literature', 'Novels', 'Dystopia']","306 pages, Paperback",1963, 4.15 avg rating,"435,487 ratings","score: 65,503",803 people voted,https://www.goodreads.com/book/show/135479.Cat_s_Cradle
The Secret Magdalene,Ki Longfellow,"['Historical Fiction', 'Fiction', 'Religion', 'Historical', 'Spirituality', 'Literature', 'Novels']","448 pages, Hardcover",2005, 4.14 avg rating,"4,737 ratings","score: 65,329",670 people voted,https://www.goodreads.com/book/show/514811.The_Secret_Magdalene
American Psycho,Bret Easton Ellis,"['Fiction', 'Horror', 'Classics', 'Thriller', 'Crime', 'Contemporary', 'Novels']","399 pages, Paperback",1991, 3.80 avg rating,"359,839 ratings","score: 65,193",758 people voted,https://www.goodreads.com/book/show/28676.American_Psycho
The Wind in the Willows,Kenneth Grahame,"['Classics', 'Fiction', 'Childrens', 'Fantasy', 'Animals', 'Young Adult', 'Middle Grade']","197 pages, Paperback",1908, 4.02 avg rating,"239,631 ratings","score: 65,135",866 people voted,https://www.goodreads.com/book/show/5659.The_Wind_in_the_Willows
A Light in the Attic,Shel Silverstein,"['Poetry', 'Childrens', 'Classics', 'Fiction', 'Humor', 'Young Adult', 'Picture Books']","176 pages, Hardcover",1981, 4.36 avg rating,"475,201 ratings","score: 64,610",852 people voted,https://www.goodreads.com/book/show/30118.A_Light_in_the_Attic
The Phantom of the Opera,Gaston Leroux,"['Classics', 'Fiction', 'Horror', 'Gothic', 'Romance', 'Mystery', 'Historical Fiction']","360 pages, Mass Market Paperback",1910, 3.96 avg rating,"275,644 ratings","score: 63,607",815 people voted,https://www.goodreads.com/book/show/480204.The_Phantom_of_the_Opera
"Spirit Bound (Vampire Academy, #5)",Richelle Mead,"['Young Adult', 'Fantasy', 'Vampires', 'Paranormal', 'Romance', 'Urban Fantasy', 'Paranormal Romance']","489 pages, Hardcover",2010, 4.32 avg rating,"307,108 ratings","score: 63,571",754 people voted,https://www.goodreads.com/book/show/6479259-spirit-bound
"A Clash of Kings  (A Song of Ice and Fire, #2)",George R.R. Martin,"['Fantasy', 'Fiction', 'Epic Fantasy', 'High Fantasy', 'Audiobook', 'Science Fiction Fantasy', 'Adult']","1009 pages, Paperback",1998, 4.42 avg rating,"1,016,490 ratings","score: 63,497",782 people voted,https://www.goodreads.com/book/show/10572.A_Clash_of_Kings
Blindness,José Saramago,"['Fiction', 'Dystopia', 'Classics', 'Science Fiction', 'Novels', 'Portugal', 'Book Club']","349 pages, Kindle Edition",1995, 4.18 avg rating,"335,611 ratings","score: 63,184",730 people voted,https://www.goodreads.com/book/show/40495148-blindness
"City of Fallen Angels (The Mortal Instruments, #4)",Cassandra Clare,"['Fantasy', 'Young Adult', 'Romance', 'Paranormal', 'Urban Fantasy', 'Fiction', 'Vampires']","425 pages, Hardcover",2011, 4.07 avg rating,"638,513 ratings","score: 63,084",782 people voted,https://www.goodreads.com/book/show/6752378-city-of-fallen-angels
"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,"['Fantasy', 'Classics', 'Fiction', 'Adventure', 'Audiobook', 'High Fantasy', 'Epic Fantasy']","398 pages, Paperback",1954, 4.41 avg rating,"3,127,738 ratings","score: 62,975",773 people voted,https://www.goodreads.com/book/show/34.The_Fellowship_of_the_Ring
The Hiding Place: The Triumphant True Story of Corrie Ten Boom,Corrie ten Boom,"['Nonfiction', 'Biography', 'History', 'Christian', 'Memoir', 'Classics', 'Holocaust']","242 pages, Mass Market Paperback",1971, 4.48 avg rating,"354,673 ratings","score: 62,965",755 people voted,https://www.goodreads.com/book/show/561909.The_Hiding_Place
The God of Small Things,Arundhati Roy,"['Fiction', 'India', 'Historical Fiction', 'Classics', 'Literary Fiction', 'Contemporary', 'Book Club']","321 pages, Paperback",1997, 3.96 avg rating,"323,722 ratings","score: 62,767",737 people voted,https://www.goodreads.com/book/show/9777.The_God_of_Small_Things
"The Way of Kings (The Stormlight Archive, #1)",Brandon Sanderson,"['Fantasy', 'Fiction', 'Epic Fantasy', 'High Fantasy', 'Audiobook', 'Adult', 'Science Fiction Fantasy']","1007 pages, Hardcover",2010, 4.66 avg rating,"660,789 ratings","score: 62,397",659 people voted,https://www.goodreads.com/book/show/7235533-the-way-of-kings
The House of the Spirits,Isabel Allende,"['Fiction', 'Magical Realism', 'Historical Fiction', 'Classics', 'Fantasy', 'Book Club', 'Spanish Literature']","448 pages, Paperback",1982, 4.30 avg rating,"316,790 ratings","score: 61,983",769 people voted,https://www.goodreads.com/book/show/9328.The_House_of_the_Spirits
"Ella Enchanted (Ella Enchanted, #1)",Gail Carson Levine,"['Fantasy', 'Young Adult', 'Fiction', 'Middle Grade', 'Romance', 'Childrens', 'Fairy Tales']","240 pages, Paperback",1997, 4.02 avg rating,"423,571 ratings","score: 61,836",763 people voted,https://www.goodreads.com/book/show/24337.Ella_Enchanted
The Chain Between Worlds (The Lost Artefacts #1),Johnathon Nicolaou,"['Fantasy', 'Young Adult', 'Urban Fantasy', 'Fiction', 'Young Adult Fantasy', 'Science Fiction', 'Childrens']","335 pages, ebook",2021, 4.41 avg rating,"1,237 ratings","score: 61,459",615 people voted,https://www.goodreads.com/book/show/60288648-the-chain-between-worlds
Girl with a Pearl Earring,Tracy Chevalier,"['Historical Fiction', 'Fiction', 'Classics', 'Historical', 'Art', 'Romance', 'Book Club']","233 pages, Paperback",1999, 3.93 avg rating,"778,654 ratings","score: 60,596",795 people voted,https://www.goodreads.com/book/show/2865.Girl_with_a_Pearl_Earring
The Wind-Up Bird Chronicle,Haruki Murakami,"['Fiction', 'Magical Realism', 'Japan', 'Fantasy', 'Japanese Literature', 'Contemporary', 'Novels']","607 pages, Paperback",1994, 4.14 avg rating,"313,468 ratings","score: 59,764",672 people voted,https://www.goodreads.com/book/show/11275.The_Wind_Up_Bird_Chronicle
"Uglies (Uglies, #1)",Scott Westerfeld,"['Young Adult', 'Dystopia', 'Science Fiction', 'Fiction', 'Fantasy', 'Romance', 'Teen']","425 pages, Paperback",2005, 3.84 avg rating,"706,835 ratings","score: 59,715",713 people voted,https://www.goodreads.com/book/show/24770.Uglies
Marley and Me: Life and Love With the World’s Worst Dog,John Grogan,"['Nonfiction', 'Memoir', 'Animals', 'Biography', 'Dogs', 'Humor', 'Book Club']","291 pages, Hardcover",2005, 4.14 avg rating,"476,647 ratings","score: 59,580",748 people voted,https://www.goodreads.com/book/show/12691.Marley_and_Me
The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer,"['Historical Fiction', 'Fiction', 'Book Club', 'Romance', 'Historical', 'World War II', 'Audiobook']","291 pages, Paperback",2008, 4.19 avg rating,"806,930 ratings","score: 59,398",731 people voted,https://www.goodreads.com/book/show/39832183-the-guernsey-literary-and-potato-peel-pie-society
Norwegian Wood,Haruki Murakami,"['Fiction', 'Romance', 'Japan', 'Japanese Literature', 'Contemporary', 'Classics', 'Novels']","296 pages, Paperback",1987, 3.99 avg rating,"723,316 ratings","score: 59,202",676 people voted,https://www.goodreads.com/book/show/11297.Norwegian_Wood
Speak,Laurie Halse Anderson,"['Young Adult', 'Fiction', 'Contemporary', 'Realistic Fiction', 'Mental Health', 'Coming Of Age', 'Banned Books']","224 pages, Hardcover",1999, 4.05 avg rating,"629,758 ratings","score: 57,987",703 people voted,https://www.goodreads.com/book/show/39280444-speak
Paper Towns,John Green,"['Young Adult', 'Fiction', 'Contemporary', 'Romance', 'Mystery', 'Realistic Fiction', 'Coming Of Age']","305 pages, Paperback",2008, 3.70 avg rating,"1,483,865 ratings","score: 57,835",680 people voted,https://www.goodreads.com/book/show/6442769-paper-towns
She’s Come Undone,Wally Lamb,"['Fiction', 'Contemporary', 'Book Club', 'Coming Of Age', 'Chick Lit', 'Adult Fiction', 'Novels']","465 pages, Mass Market Paperback",1992, 3.92 avg rating,"361,915 ratings","score: 57,456",698 people voted,https://www.goodreads.com/book/show/5203.She_s_Come_Undone
"The Cruel Prince (The Folk of the Air, #1)",Holly Black,"['Fantasy', 'Young Adult', 'Romance', 'Enemies To Lovers', 'Fae', 'Fiction', 'Romantasy']","370 pages, Hardcover",2018, 4.01 avg rating,"1,708,221 ratings","score: 57,271",628 people voted,https://www.goodreads.com/book/show/26032825-the-cruel-prince
"Shiver (The Wolves of Mercy Falls, #1)",Maggie Stiefvater,"['Young Adult', 'Fantasy', 'Romance', 'Paranormal', 'Werewolves', 'Fiction', 'Paranormal Romance']","392 pages, Hardcover",2009, 3.76 avg rating,"496,041 ratings","score: 57,084",665 people voted,https://www.goodreads.com/book/show/6068551-shiver
Room,Emma Donoghue,"['Fiction', 'Book Club', 'Contemporary', 'Thriller', 'Adult', 'Adult Fiction', 'Audiobook']","321 pages, Kindle Edition",2010, 4.08 avg rating,"832,530 ratings","score: 56,865",671 people voted,https://www.goodreads.com/book/show/31685789-room
The Shack: Where Tragedy Confronts Eternity,William Paul Young,"['Fiction', 'Christian', 'Christian Fiction', 'Book Club', 'Religion', 'Spirituality', 'Faith']","294 pages, Kindle Edition",2007, 3.84 avg rating,"690,236 ratings","score: 56,652",676 people voted,https://www.goodreads.com/book/show/40874325-the-shack
Fear and Loathing in Las Vegas: A Savage Journey to the Heart of the American Dream,Hunter S. Thompson,"['Fiction', 'Classics', 'Humor', 'Journalism', 'Drugs', 'Novels', 'Literature']","204 pages, Paperback",1971, 4.06 avg rating,"377,020 ratings","score: 56,519",686 people voted,https://www.goodreads.com/book/show/7745.Fear_and_Loathing_in_Las_Vegas
The Complete Calvin and Hobbes,Bill Watterson,"['Comics', 'Humor', 'Graphic Novels', 'Fiction', 'Classics', 'Comedy', 'Graphic Novels Comics']","1456 pages, Hardcover",2005, 4.81 avg rating,"42,051 ratings","score: 56,493",706 people voted,https://www.goodreads.com/book/show/24812.The_Complete_Calvin_and_Hobbes
"Marked (House of Night, #1)",P.C. Cast,"['Young Adult', 'Fantasy', 'Vampires', 'Paranormal', 'Romance', 'Fiction', 'Supernatural']","306 pages, Paperback",2007, 3.82 avg rating,"522,002 ratings","score: 56,441",664 people voted,https://www.goodreads.com/book/show/30183.Marked
Kafka on the Shore,Haruki Murakami,"['Fiction', 'Magical Realism', 'Fantasy', 'Japan', 'Japanese Literature', 'Contemporary', 'Novels']","467 pages, Paperback",2002, 4.12 avg rating,"544,787 ratings","score: 56,427",639 people voted,https://www.goodreads.com/book/show/4929.Kafka_on_the_Shore
The Sound and the Fury,William Faulkner,"['Classics', 'Fiction', 'Literature', 'Novels', 'American', 'Southern Gothic', '20th Century']","366 pages, Paperback",1929, 3.86 avg rating,"195,399 ratings","score: 56,237",703 people voted,https://www.goodreads.com/book/show/10975.The_Sound_and_the_Fury
"Shatter Me (Shatter Me, #1)",Tahereh Mafi,"['Fantasy', 'Dystopia', 'Young Adult', 'Romance', 'Fiction', 'Science Fiction', 'Paranormal']","338 pages, Hardcover",2011, 3.84 avg rating,"1,208,459 ratings","score: 56,227",631 people voted,https://www.goodreads.com/book/show/10429045-shatter-me
For Whom the Bell Tolls,Ernest Hemingway,"['Classics', 'Fiction', 'Historical Fiction', 'Literature', 'War', 'Novels', 'American']","471 pages, Paperback",1940, 3.99 avg rating,"316,927 ratings","score: 56,170",770 people voted,https://www.goodreads.com/book/show/46170.For_Whom_the_Bell_Tolls
The Complete Sherlock Holmes,Arthur Conan Doyle,"['Classics', 'Mystery', 'Fiction', 'Crime', 'Short Stories', 'Audiobook', 'Detective']","1796 pages, Paperback",1986, 4.51 avg rating,"216,373 ratings","score: 56,158",732 people voted,https://www.goodreads.com/book/show/188572.The_Complete_Sherlock_Holmes
Othello,William Shakespeare,"['Classics', 'Plays', 'Shakespeare', 'Fiction', 'Drama', 'School', 'Theatre']","319 pages, Mass Market Paperback",1603, 3.89 avg rating,"435,111 ratings","score: 55,657",794 people voted,https://www.goodreads.com/book/show/12996.Othello
Island of the Blue Dolphins,Scott O'Dell,"['Fiction', 'Young Adult', 'Historical Fiction', 'Classics', 'Childrens', 'Middle Grade', 'Adventure']","194 pages, Kindle Edition",1960, 3.88 avg rating,"349,083 ratings","score: 55,249",712 people voted,https://www.goodreads.com/book/show/41044096-island-of-the-blue-dolphins
The Idiot,Fyodor Dostoevsky,"['Classics', 'Fiction', 'Russia', 'Russian Literature', 'Literature', 'Philosophy', 'Novels']","667 pages, Paperback",1869, 4.21 avg rating,"215,585 ratings","score: 55,195",698 people voted,https://www.goodreads.com/book/show/12505.The_Idiot
The Virgin Suicides,Jeffrey Eugenides,"['Fiction', 'Classics', 'Contemporary', 'Young Adult', 'Literary Fiction', 'Coming Of Age', 'Mental Health']","250 pages, Paperback",1993, 3.78 avg rating,"409,765 ratings","score: 54,796",659 people voted,https://www.goodreads.com/book/show/10956.The_Virgin_Suicides
Stranger in a Strange Land,Robert A. Heinlein,"['Science Fiction', 'Fiction', 'Classics', 'Science Fiction Fantasy', 'Fantasy', 'Audiobook', 'Novels']","525 pages, Paperback",1961, 3.92 avg rating,"326,124 ratings","score: 54,721",686 people voted,https://www.goodreads.com/book/show/350.Stranger_in_a_Strange_Land
"Inkheart (Inkworld, #1)",Cornelia Funke,"['Fantasy', 'Young Adult', 'Fiction', 'Middle Grade', 'Childrens', 'Adventure', 'Magic']","563 pages, Paperback",2003, 3.93 avg rating,"442,125 ratings","score: 54,434",687 people voted,https://www.goodreads.com/book/show/28194.Inkheart
Roots: The Saga of an American Family,Alex Haley,"['Historical Fiction', 'Fiction', 'Classics', 'Historical', 'African American', 'Africa', 'Race']","729 pages, Mass Market Paperback",1976, 4.45 avg rating,"164,605 ratings","score: 54,368",715 people voted,https://www.goodreads.com/book/show/546018.Roots
Into the Wild,Jon Krakauer,"['Nonfiction', 'Biography', 'Adventure', 'Travel', 'Classics', 'Memoir', 'Nature']","207 pages, Paperback",1996, 4.02 avg rating,"1,186,320 ratings","score: 54,111",683 people voted,https://www.goodreads.com/book/show/1845.Into_the_Wild
"Wonder (Wonder, #1)",R.J. Palacio,"['Fiction', 'Young Adult', 'Middle Grade', 'Contemporary', 'Realistic Fiction', 'Book Club', 'Childrens']","315 pages, Hardcover",2012, 4.36 avg rating,"1,189,332 ratings","score: 54,045",630 people voted,https://www.goodreads.com/book/show/11387515-wonder
East of Eden,John Steinbeck,"['Classics', 'Fiction', 'Historical Fiction', 'Literature', 'Book Club', 'Novels', 'Literary Fiction']","601 pages, Paperback",1952, 4.44 avg rating,"631,076 ratings","score: 53,844",633 people voted,https://www.goodreads.com/book/show/4406.East_of_Eden
"Neverwhere (London Below, #1)",Neil Gaiman,"['Fantasy', 'Fiction', 'Urban Fantasy', 'Audiobook', 'Science Fiction Fantasy', 'Horror', 'Science Fiction']","370 pages, Paperback",1996, 4.16 avg rating,"560,552 ratings","score: 52,930",645 people voted,https://www.goodreads.com/book/show/14497.Neverwhere
Never Let Me Go,Kazuo Ishiguro,"['Fiction', 'Science Fiction', 'Dystopia', 'Book Club', 'Contemporary', 'Literary Fiction', 'Classics']","288 pages, Paperback",2005, 3.85 avg rating,"846,553 ratings","score: 52,722",633 people voted,https://www.goodreads.com/book/show/6334.Never_Let_Me_Go
"The Vampire Lestat (The Vampire Chronicles, #2)",Anne Rice,"['Horror', 'Fantasy', 'Vampires', 'Fiction', 'Paranormal', 'Supernatural', 'Gothic']","481 pages, Mass Market Paperback",1985, 4.11 avg rating,"216,105 ratings","score: 52,631",675 people voted,https://www.goodreads.com/book/show/43814.The_Vampire_Lestat
"Ready Player One (Ready Player One, #1)",Ernest Cline,"['Science Fiction', 'Fiction', 'Young Adult', 'Fantasy', 'Dystopia', 'Audiobook', 'Book Club']","480 pages, Hardcover",2011, 4.23 avg rating,"1,292,549 ratings","score: 52,535",595 people voted,https://www.goodreads.com/book/show/9969571-ready-player-one
"A Court of Thorns and Roses (A Court of Thorns and Roses, #1)",Sarah J. Maas,"['Fantasy', 'Romance', 'Romantasy', 'Young Adult', 'Fiction', 'Audiobook', 'Fae']","419 pages, Hardcover",2015, 4.16 avg rating,"4,123,886 ratings","score: 52,402",599 people voted,https://www.goodreads.com/book/show/16096824-a-court-of-thorns-and-roses
"The Girl Who Kicked the Hornet’s Nest (Millennium, #3)",Stieg Larsson,"['Fiction', 'Mystery', 'Thriller', 'Crime', 'Mystery Thriller', 'Suspense', 'Audiobook']","566 pages, Hardcover",2007, 4.24 avg rating,"774,003 ratings","score: 52,345",673 people voted,https://www.goodreads.com/book/show/6892870-the-girl-who-kicked-the-hornet-s-nest
King Lear,William Shakespeare,"['Classics', 'Plays', 'Shakespeare', 'Fiction', 'Drama', 'School', 'Theatre']","339 pages, Mass Market Paperback",1605, 3.91 avg rating,"236,654 ratings","score: 52,307",714 people voted,https://www.goodreads.com/book/show/12938.King_Lear
"Mistborn: The Final Empire (Mistborn, #1)",Brandon Sanderson,"['Fantasy', 'Fiction', 'High Fantasy', 'Audiobook', 'Epic Fantasy', 'Magic', 'Adult']","541 pages, Hardcover",2006, 4.49 avg rating,"957,227 ratings","score: 52,218",575 people voted,https://www.goodreads.com/book/show/68428.Mistborn
