book_name,author,genres_list,pages_format,first_published_year,rating,ratings_count,score,votes,book_url
"The Da Vinci Code (Robert Langdon, #2)",Dan    Brown,"['Fiction', 'Mystery', 'Thriller', 'Mystery Thriller', 'Historical Fiction', 'Suspense', 'Adventure']","489 pages, Paperback",2003, 3.94 avg rating,"2,513,227 ratings","score: 1,026,812","10,791 people voted",https://www.goodreads.com/book/show/968.The_Da_Vinci_Code
Alice’s Adventures in Wonderland / Through the Looking-Glass,Lewis Carroll,"['Classics', 'Fantasy', 'Fiction', 'Childrens', 'Young Adult', 'Literature', 'Adventure']","239 pages, Paperback",1871, 4.06 avg rating,"606,934 ratings","score: 1,009,457","10,638 people voted",https://www.goodreads.com/book/show/24213.Alice_s_Adventures_in_Wonderland_Through_the_Looking_Glass
"Divergent (Divergent, #1)",Veronica Roth,"['Young Adult', 'Dystopia', 'Fantasy', 'Fiction', 'Science Fiction', 'Romance', 'Adventure']","487 pages, Paperback",2011, 4.13 avg rating,"4,356,223 ratings","score: 1,003,609","10,518 people voted",https://www.goodreads.com/book/show/13335037-divergent
Les Misérables,Victor Hugo,"['Classics', 'Fiction', 'Historical Fiction', 'Literature', 'France', 'Historical', 'Novels']","1463 pages, Mass Market Paperback",1862, 4.21 avg rating,"840,691 ratings","score: 968,746","10,172 people voted",https://www.goodreads.com/book/show/24280.Les_Mis_rables
Memoirs of a Geisha,Arthur Golden,"['Fiction', 'Historical Fiction', 'Romance', 'Classics', 'Historical', 'Japan', 'Book Club']","503 pages, Mass Market Paperback",1997, 4.16 avg rating,"2,103,692 ratings","score: 968,383","10,088 people voted",https://www.goodreads.com/book/show/929.Memoirs_of_a_Geisha
The Alchemist,Paulo Coelho,"['Fiction', 'Classics', 'Fantasy', 'Philosophy', 'Self Help', 'Book Club', 'Novels']","197 pages, Paperback",1988, 3.92 avg rating,"3,537,243 ratings","score: 960,253","10,027 people voted",https://www.goodreads.com/book/show/865.The_Alchemist
"Anne of Green Gables (Anne of Green Gables, #1)",L.M. Montgomery,"['Classics', 'Fiction', 'Young Adult', 'Historical Fiction', 'Childrens', 'Audiobook', 'Middle Grade']","320 pages, Mass Market Paperback",1908, 4.33 avg rating,"1,106,222 ratings","score: 957,633","10,070 people voted",https://www.goodreads.com/book/show/8127.Anne_of_Green_Gables
Lord of the Flies,William Golding,"['Classics', 'Fiction', 'Young Adult', 'School', 'Dystopia', 'Literature', 'Read For School']","182 pages, Paperback",1954, 3.70 avg rating,"3,180,042 ratings","score: 942,682","10,008 people voted",https://www.goodreads.com/book/show/7624.Lord_of_the_Flies
Romeo and Juliet,William Shakespeare,"['Classics', 'Plays', 'Fiction', 'Romance', 'School', 'Shakespeare', 'Drama']","281 pages, Mass Market Paperback",1590, 3.74 avg rating,"2,809,542 ratings","score: 924,413","9,894 people voted",https://www.goodreads.com/book/show/18135.Romeo_and_Juliet
Brave New World,Aldous Huxley,"['Classics', 'Fiction', 'Science Fiction', 'Dystopia', 'Literature', 'Novels', 'School']","288 pages, Paperback",1932, 3.99 avg rating,"2,064,076 ratings","score: 923,864","9,892 people voted",https://www.goodreads.com/book/show/5129.Brave_New_World
"The Hitchhiker’s Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,"['Science Fiction', 'Fiction', 'Classics', 'Humor', 'Fantasy', 'Audiobook', 'Comedy']","216 pages, Mass Market Paperback",1979, 4.22 avg rating,"2,006,139 ratings","score: 876,746","9,093 people voted",https://www.goodreads.com/book/show/11.The_Hitchhiker_s_Guide_to_the_Galaxy
"City of Bones (The Mortal Instruments, #1)",Cassandra Clare,"['Fantasy', 'Young Adult', 'Romance', 'Paranormal', 'Urban Fantasy', 'Fiction', 'Vampires']","485 pages, Hardcover",2007, 4.07 avg rating,"2,158,343 ratings","score: 867,816","9,115 people voted",https://www.goodreads.com/book/show/256683.City_of_Bones
The Help,Kathryn Stockett,"['Fiction', 'Historical Fiction', 'Book Club', 'Historical', 'Classics', 'Adult', 'Adult Fiction']","451 pages, Hardcover",2009, 4.47 avg rating,"3,003,548 ratings","score: 852,941","9,095 people voted",https://www.goodreads.com/book/show/4667024-the-help
Dracula,Bram Stoker,"['Classics', 'Horror', 'Fiction', 'Fantasy', 'Gothic', 'Vampires', 'Audiobook']","488 pages, Paperback",1897, 4.02 avg rating,"1,465,337 ratings","score: 845,948","9,078 people voted",https://www.goodreads.com/book/show/17245.Dracula
Fahrenheit 451,Ray Bradbury,"['Classics', 'Fiction', 'Science Fiction', 'Dystopia', 'School', 'Literature', 'Audiobook']","194 pages, Kindle Edition",1953, 3.97 avg rating,"2,809,289 ratings","score: 837,236","8,867 people voted",https://www.goodreads.com/book/show/13079982-fahrenheit-451
Charlotte’s Web,E.B. White,"['Classics', 'Fiction', 'Childrens', 'Fantasy', 'Young Adult', 'Middle Grade', 'Animals']","184 pages, Paperback",1952, 4.21 avg rating,"2,033,696 ratings","score: 835,895","8,997 people voted",https://www.goodreads.com/book/show/24178.Charlotte_s_Web
1984,George Orwell,"['Classics', 'Fiction', 'Science Fiction', 'Dystopia', 'Literature', 'Politics', 'Novels']","298 pages, ebook",1949, 4.20 avg rating,"5,406,984 ratings","score: 818,439","8,710 people voted",https://www.goodreads.com/book/show/40961427-1984
Of Mice and Men,John Steinbeck,"['Classics', 'Fiction', 'School', 'Historical Fiction', 'Literature', 'Read For School', 'Novels']","107 pages, Paperback",1937, 3.90 avg rating,"2,814,743 ratings","score: 815,502","8,775 people voted",https://www.goodreads.com/book/show/890.Of_Mice_and_Men
"Ender’s Game (Ender's Saga, #1)",Orson Scott Card,"['Science Fiction', 'Fiction', 'Young Adult', 'Fantasy', 'Classics', 'Science Fiction Fantasy', 'Dystopia']","324 pages, Mass Market Paperback",1985, 4.31 avg rating,"1,469,115 ratings","score: 804,963","8,398 people voted",https://www.goodreads.com/book/show/375802.Ender_s_Game
The Catcher in the Rye,J.D. Salinger,"['Classics', 'Fiction', 'Young Adult', 'Literature', 'School', 'Coming Of Age', 'Novels']","277 pages, Paperback",1951, 3.80 avg rating,"3,871,518 ratings","score: 796,653","8,550 people voted",https://www.goodreads.com/book/show/5107.The_Catcher_in_the_Rye
"Little Women (Little Women, #1)",Louisa May Alcott,"['Classics', 'Fiction', 'Historical Fiction', 'Young Adult', 'Romance', 'Historical', 'Book Club']","449 pages, Mass Market Paperback",1868, 4.17 avg rating,"2,443,035 ratings","score: 777,397","8,495 people voted",https://www.goodreads.com/book/show/1934.Little_Women
One Hundred Years of Solitude,Gabriel García Márquez,"['Classics', 'Fiction', 'Magical Realism', 'Fantasy', 'Literature', 'Historical Fiction', 'Novels']","417 pages, Mass Market Paperback",1967, 4.12 avg rating,"1,097,424 ratings","score: 764,823","8,033 people voted",https://www.goodreads.com/book/show/320.One_Hundred_Years_of_Solitude
A Thousand Splendid Suns,Khaled Hosseini,"['Fiction', 'Historical Fiction', 'Book Club', 'Contemporary', 'Historical', 'Classics', 'Novels']","372 pages, Hardcover",2007, 4.45 avg rating,"1,723,988 ratings","score: 761,920","8,042 people voted",https://www.goodreads.com/book/show/128029.A_Thousand_Splendid_Suns
The Outsiders,S.E. Hinton,"['Classics', 'Young Adult', 'Fiction', 'School', 'Read For School', 'Coming Of Age', 'Historical Fiction']","208 pages, Mass Market Paperback",1967, 4.14 avg rating,"1,586,320 ratings","score: 753,550","8,055 people voted",https://www.goodreads.com/book/show/231804.The_Outsiders
